Datetime,Open,High,Low,Close
2022-10-04 01:56:00,1.36590,1.36615,1.36565,1.36615
2022-10-04 01:57:00,1.36620,1.36620,1.36570,1.36570
2022-10-04 01:58:00,1.36580,1.36610,1.36570,1.36610
2022-10-04 01:59:00,1.36630,1.36650,1.36620,1.36650
2022-10-04 02:00:00,1.36655,1.36670,1.36650,1.36670
2022-10-04 02:01:00,1.36670,1.36685,1.36650,1.36685
2022-10-04 02:02:00,1.36670,1.36690,1.36650,1.36655
2022-10-04 02:03:00,1.36665,1.36670,1.36665,1.36670
2022-10-04 02:04:00,1.36660,1.36660,1.36650,1.36650
2022-10-04 02:05:00,1.36665,1.36680,1.36665,1.36670
2022-10-04 02:06:00,1.36660,1.36675,1.36645,1.36675
2022-10-04 02:07:00,1.36660,1.36660,1.36600,1.36620
2022-10-04 02:08:00,1.36610,1.36620,1.36600,1.36605
2022-10-04 02:09:00,1.36610,1.36625,1.36590,1.36590
2022-10-04 02:10:00,1.36600,1.36600,1.36535,1.36535
2022-10-04 02:11:00,1.36525,1.36525,1.36485,1.36510
2022-10-04 02:12:00,1.36500,1.36570,1.36500,1.36560
2022-10-04 02:13:00,1.36585,1.36585,1.36545,1.36560
2022-10-04 02:14:00,1.36550,1.36560,1.36535,1.36560
2022-10-04 02:15:00,1.36550,1.36570,1.36500,1.36520
2022-10-04 02:16:00,1.36510,1.36530,1.36510,1.36520
2022-10-04 02:17:00,1.36520,1.36520,1.36480,1.36510
2022-10-04 02:18:00,1.36510,1.36510,1.36480,1.36500
2022-10-04 02:19:00,1.36495,1.36520,1.36495,1.36520
2022-10-04 02:20:00,1.36515,1.36530,1.36480,1.36485
2022-10-04 02:21:00,1.36465,1.36480,1.36460,1.36460
2022-10-04 02:22:00,1.36470,1.36470,1.36420,1.36420
2022-10-04 02:23:00,1.36420,1.36420,1.36395,1.36400
2022-10-04 02:24:00,1.36400,1.36420,1.36370,1.36370
2022-10-04 02:25:00,1.36360,1.36440,1.36360,1.36430
2022-10-04 02:26:00,1.36430,1.36440,1.36415,1.36420
2022-10-04 02:27:00,1.36430,1.36430,1.36390,1.36390
2022-10-04 02:28:00,1.36395,1.36400,1.36360,1.36375
2022-10-04 02:29:00,1.36370,1.36395,1.36370,1.36380
2022-10-04 02:30:00,1.36385,1.36385,1.36350,1.36370
2022-10-04 02:31:00,1.36370,1.36400,1.36340,1.36340
2022-10-04 02:32:00,1.36350,1.36400,1.36340,1.36400
2022-10-04 02:33:00,1.36400,1.36415,1.36395,1.36410
2022-10-04 02:34:00,1.36425,1.36425,1.36405,1.36405
2022-10-04 02:35:00,1.36395,1.36410,1.36395,1.36410
