Datetime,Open,High,Low,Close
2022-10-04 01:57:00,7.57770,7.57770,7.57250,7.57310
2022-10-04 01:58:00,7.57265,7.57570,7.57265,7.57520
2022-10-04 01:59:00,7.57590,7.57810,7.57505,7.57810
2022-10-04 02:00:00,7.57815,7.57845,7.57650,7.57670
2022-10-04 02:01:00,7.57630,7.57670,7.57540,7.57540
2022-10-04 02:02:00,7.57560,7.57570,7.57430,7.57480
2022-10-04 02:03:00,7.57520,7.57540,7.57240,7.57265
2022-10-04 02:04:00,7.57350,7.57530,7.57350,7.57460
2022-10-04 02:05:00,7.57315,7.57315,7.57170,7.57170
2022-10-04 02:06:00,7.57160,7.57235,7.57025,7.57050
2022-10-04 02:07:00,7.57110,7.57110,7.56580,7.56740
2022-10-04 02:08:00,7.56700,7.56910,7.56700,7.56900
2022-10-04 02:09:00,7.56940,7.56940,7.56690,7.56690
2022-10-04 02:10:00,7.56710,7.56710,7.56090,7.56270
2022-10-04 02:11:00,7.56210,7.56335,7.56030,7.56045
2022-10-04 02:12:00,7.56040,7.56440,7.56040,7.56420
2022-10-04 02:13:00,7.56420,7.56595,7.56250,7.56310
2022-10-04 02:14:00,7.56310,7.56395,7.56210,7.56230
2022-10-04 02:15:00,7.56210,7.56260,7.55805,7.55950
2022-10-04 02:16:00,7.55860,7.55960,7.55660,7.55660
2022-10-04 02:17:00,7.55675,7.55675,7.55430,7.55660
2022-10-04 02:18:00,7.55720,7.55760,7.55530,7.55760
2022-10-04 02:19:00,7.55730,7.56130,7.55730,7.56130
2022-10-04 02:20:00,7.56080,7.56110,7.55925,7.56010
2022-10-04 02:21:00,7.56060,7.56270,7.56015,7.56270
2022-10-04 02:22:00,7.56255,7.56310,7.56040,7.56045
2022-10-04 02:23:00,7.56000,7.56110,7.55820,7.55890
2022-10-04 02:24:00,7.55890,7.56080,7.55890,7.55980
2022-10-04 02:25:00,7.55895,7.56410,7.55895,7.56410
2022-10-04 02:26:00,7.56330,7.56350,7.56180,7.56180
2022-10-04 02:27:00,7.56350,7.56350,7.55880,7.55940
2022-10-04 02:28:00,7.56000,7.56155,7.55920,7.55995
2022-10-04 02:29:00,7.56000,7.56265,7.56000,7.56190
2022-10-04 02:30:00,7.56085,7.56270,7.56060,7.56130
2022-10-04 02:31:00,7.56070,7.56300,7.56070,7.56150
2022-10-04 02:32:00,7.56190,7.56285,7.55990,7.56285
2022-10-04 02:33:00,7.56260,7.56390,7.56260,7.56350
2022-10-04 02:34:00,7.56450,7.56600,7.56440,7.56590
2022-10-04 02:35:00,7.56650,7.56745,7.56590,7.56745
2022-10-04 02:36:00,7.56700,7.56700,7.56535,7.56680
2022-10-04 02:37:00,7.56660,7.56750,7.56610,7.56735
2022-10-04 02:38:00,7.56685,7.56740,7.56570,7.56630
2022-10-04 02:39:00,7.56630,7.56760,7.56630,7.56760
2022-10-04 02:40:00,7.56730,7.56945,7.56705,7.56865
2022-10-04 02:41:00,7.56940,7.57050,7.56770,7.57000
2022-10-04 02:42:00,7.56860,7.57130,7.56860,7.57105
2022-10-04 02:43:00,7.57050,7.57195,7.57050,7.57100
2022-10-04 02:44:00,7.56945,7.57170,7.56945,7.57150
2022-10-04 02:45:00,7.57180,7.57195,7.56960,7.57195
2022-10-04 02:46:00,7.57190,7.57290,7.57190,7.57210
2022-10-04 02:47:00,7.57250,7.57250,7.57025,7.57220
2022-10-04 02:48:00,7.57250,7.57290,7.57110,7.57110
2022-10-04 02:49:00,7.57165,7.57260,7.57115,7.57200
2022-10-04 02:50:00,7.57170,7.57210,7.57150,7.57190
2022-10-04 02:51:00,7.57250,7.57350,7.57250,7.57320
2022-10-04 02:52:00,7.57340,7.57350,7.57045,7.57095
2022-10-04 02:53:00,7.57190,7.57280,7.57120,7.57210
2022-10-04 02:54:00,7.57385,7.57385,7.57230,7.57365
2022-10-04 02:55:00,7.57335,7.57470,7.57335,7.57470
2022-10-04 02:56:00,7.57475,7.58095,7.57475,7.58095
2022-10-04 02:57:00,7.58185,7.58400,7.58060,7.58260
2022-10-04 02:58:00,7.58220,7.58340,7.58070,7.58070
2022-10-04 02:59:00,7.58175,7.58360,7.58175,7.58230
2022-10-04 03:00:00,7.58210,7.58210,7.58010,7.58085
2022-10-04 03:01:00,7.58025,7.58030,7.57825,7.57910
2022-10-04 03:02:00,7.57900,7.58020,7.57780,7.57920
2022-10-04 03:03:00,7.58095,7.58095,7.57870,7.58040
2022-10-04 03:04:00,7.58110,7.58110,7.57950,7.58020
2022-10-04 03:05:00,7.58050,7.58195,7.58020,7.58060
2022-10-04 03:06:00,7.58105,7.58180,7.57970,7.57970
2022-10-04 03:07:00,7.57950,7.58040,7.57880,7.57885
2022-10-04 03:08:00,7.57870,7.57950,7.57650,7.57690
2022-10-04 03:09:00,7.57690,7.57750,7.57595,7.57600
2022-10-04 03:10:00,7.57630,7.57715,7.57615,7.57615
2022-10-04 03:11:00,7.57670,7.57685,7.57615,7.57615
2022-10-04 03:12:00,7.57630,7.57715,7.57520,7.57520
2022-10-04 03:13:00,7.57675,7.57775,7.57555,7.57750
2022-10-04 03:14:00,7.57740,7.58125,7.57740,7.58125
2022-10-04 03:15:00,7.58170,7.58215,7.58120,7.58120
2022-10-04 03:16:00,7.58095,7.58230,7.58010,7.58210
2022-10-04 03:17:00,7.58210,7.58275,7.58080,7.58145
2022-10-04 03:18:00,7.58220,7.58335,7.58220,7.58315
2022-10-04 03:19:00,7.58365,7.58620,7.58365,7.58570
2022-10-04 03:20:00,7.58620,7.58870,7.58580,7.58870
2022-10-04 03:21:00,7.58790,7.59010,7.58780,7.58990
2022-10-04 03:22:00,7.59065,7.59155,7.59065,7.59140
2022-10-04 03:23:00,7.59150,7.59150,7.58925,7.58965
2022-10-04 03:24:00,7.58930,7.58930,7.58620,7.58640
2022-10-04 03:25:00,7.58640,7.58730,7.58605,7.58635
2022-10-04 03:26:00,7.58655,7.58715,7.58490,7.58530
2022-10-04 03:27:00,7.58610,7.58820,7.58610,7.58820
2022-10-04 03:28:00,7.58830,7.58830,7.58605,7.58655
2022-10-04 03:29:00,7.58700,7.58725,7.58515,7.58585
2022-10-04 03:30:00,7.58625,7.58810,7.58600,7.58615
2022-10-04 03:31:00,7.58590,7.58650,7.58505,7.58610
2022-10-04 03:32:00,7.58590,7.58720,7.58515,7.58545
2022-10-04 03:33:00,7.58680,7.58680,7.58410,7.58410
2022-10-04 03:34:00,7.58385,7.58490,7.58345,7.58415
2022-10-04 03:35:00,7.58400,7.58490,7.58385,7.58470
2022-10-04 03:36:00,7.58455,7.58700,7.58390,7.58695
2022-10-04 03:37:00,7.58640,7.58950,7.58640,7.58805
2022-10-04 03:38:00,7.58750,7.58785,7.58650,7.58700
2022-10-04 03:39:00,7.58820,7.58820,7.58510,7.58510
2022-10-04 03:40:00,7.58530,7.58575,7.58270,7.58270
2022-10-04 03:41:00,7.58365,7.58400,7.58300,7.58300
2022-10-04 03:42:00,7.58365,7.58605,7.58365,7.58590
2022-10-04 03:43:00,7.58520,7.58720,7.58520,7.58620
2022-10-04 03:44:00,7.58605,7.58690,7.58500,7.58670
2022-10-04 03:45:00,7.58680,7.58740,7.58610,7.58615
2022-10-04 03:46:00,7.58570,7.58620,7.58460,7.58530
2022-10-04 03:47:00,7.58530,7.58640,7.58520,7.58610
2022-10-04 03:48:00,7.58610,7.58670,7.58570,7.58650
2022-10-04 03:49:00,7.58665,7.58665,7.58580,7.58580
2022-10-04 03:50:00,7.58550,7.58705,7.58550,7.58680
2022-10-04 03:51:00,7.58670,7.58715,7.58605,7.58715
2022-10-04 03:52:00,7.58680,7.58910,7.58680,7.58860
2022-10-04 03:53:00,7.58815,7.58815,7.58680,7.58760
2022-10-04 03:54:00,7.58800,7.58915,7.58800,7.58850
2022-10-04 03:55:00,7.58850,7.58950,7.58840,7.58870
2022-10-04 03:56:00,7.58830,7.58830,7.58495,7.58495
2022-10-04 03:57:00,7.58450,7.58510,7.58305,7.58410
2022-10-04 03:58:00,7.58360,7.58485,7.58360,7.58455
2022-10-04 03:59:00,7.58435,7.58450,7.58270,7.58285
2022-10-04 04:00:00,7.58230,7.58260,7.58230,7.58260
2022-10-04 04:01:00,7.58190,7.58190,7.58120,7.58160
2022-10-04 04:02:00,7.58150,7.58190,7.58060,7.58190
2022-10-04 04:03:00,7.58215,7.58235,7.58130,7.58235
2022-10-04 04:04:00,7.58265,7.58265,7.58155,7.58155
2022-10-04 04:05:00,7.58150,7.58340,7.58080,7.58310
2022-10-04 04:06:00,7.58295,7.58550,7.58295,7.58530
2022-10-04 04:07:00,7.58630,7.58665,7.58390,7.58390
2022-10-04 04:08:00,7.58375,7.58465,7.58290,7.58420
2022-10-04 04:09:00,7.58470,7.58550,7.58410,7.58490
2022-10-04 04:10:00,7.58460,7.58515,7.58435,7.58510
2022-10-04 04:11:00,7.58500,7.58800,7.58500,7.58765
2022-10-04 04:12:00,7.58750,7.58750,7.58660,7.58665
2022-10-04 04:13:00,7.58635,7.58635,7.58450,7.58455
2022-10-04 04:14:00,7.58445,7.58620,7.58445,7.58595
2022-10-04 04:15:00,7.58640,7.58660,7.58580,7.58615
2022-10-04 04:16:00,7.58615,7.58830,7.58615,7.58795
2022-10-04 04:17:00,7.58850,7.58935,7.58830,7.58830
2022-10-04 04:18:00,7.58850,7.58860,7.58740,7.58740
2022-10-04 04:19:00,7.58700,7.58930,7.58700,7.58930
2022-10-04 04:20:00,7.58920,7.59025,7.58890,7.58985
2022-10-04 04:21:00,7.58885,7.58935,7.58765,7.58765
2022-10-04 04:22:00,7.58750,7.58750,7.58510,7.58600
2022-10-04 04:23:00,7.58550,7.58760,7.58540,7.58675
2022-10-04 04:24:00,7.58695,7.58695,7.58615,7.58665
2022-10-04 04:25:00,7.58660,7.58740,7.58660,7.58720
2022-10-04 04:26:00,7.58750,7.58970,7.58750,7.58960
2022-10-04 04:27:00,7.58930,7.58930,7.58810,7.58890
2022-10-04 04:28:00,7.58920,7.59035,7.58885,7.59035
2022-10-04 04:29:00,7.58990,7.59160,7.58990,7.59160
2022-10-04 04:30:00,7.59100,7.59155,7.58950,7.58950
2022-10-04 04:31:00,7.58980,7.59035,7.58905,7.58905
2022-10-04 04:32:00,7.58900,7.59015,7.58880,7.58975
2022-10-04 04:33:00,7.58960,7.59030,7.58920,7.58990
2022-10-04 04:34:00,7.58950,7.58970,7.58760,7.58840
2022-10-04 04:35:00,7.58915,7.59115,7.58910,7.59115
