Datetime,Open,High,Low,Close
2022-10-03 23:48:00,1.43355,1.43355,1.43355,1.43355
2022-10-03 23:49:00,1.43335,1.43335,1.43315,1.43315
2022-10-03 23:50:00,1.43330,1.43345,1.43330,1.43345
2022-10-03 23:51:00,1.43345,1.43345,1.43335,1.43335
2022-10-03 23:52:00,1.43335,1.43375,1.43335,1.43375
2022-10-03 23:53:00,1.43375,1.43385,1.43355,1.43355
2022-10-03 23:54:00,1.43355,1.43365,1.43355,1.43365
2022-10-03 23:55:00,1.43355,1.43375,1.43355,1.43365
2022-10-03 23:56:00,1.43365,1.43405,1.43365,1.43405
2022-10-03 23:57:00,1.43410,1.43435,1.43410,1.43425
2022-10-03 23:58:00,1.43425,1.43435,1.43425,1.43435
2022-10-03 23:59:00,1.43435,1.43450,1.43435,1.43445
2022-10-04 00:00:00,1.43435,1.43435,1.43425,1.43425
2022-10-04 00:01:00,1.43425,1.43435,1.43405,1.43415
2022-10-04 00:02:00,1.43410,1.43410,1.43395,1.43395
2022-10-04 00:03:00,1.43395,1.43395,1.43375,1.43375
2022-10-04 00:04:00,1.43385,1.43385,1.43380,1.43380
2022-10-04 00:05:00,1.43385,1.43385,1.43385,1.43385
2022-10-04 00:06:00,1.43375,1.43405,1.43375,1.43405
2022-10-04 00:07:00,1.43395,1.43395,1.43375,1.43375
2022-10-04 00:08:00,1.43385,1.43385,1.43375,1.43375
2022-10-04 00:09:00,1.43375,1.43385,1.43375,1.43385
2022-10-04 00:10:00,1.43385,1.43385,1.43385,1.43385
2022-10-04 00:11:00,1.43395,1.43405,1.43395,1.43405
2022-10-04 00:12:00,1.43400,1.43405,1.43375,1.43405
2022-10-04 00:13:00,1.43405,1.43405,1.43375,1.43385
2022-10-04 00:14:00,1.43385,1.43385,1.43365,1.43365
2022-10-04 00:15:00,1.43365,1.43365,1.43365,1.43365
2022-10-04 00:16:00,1.43360,1.43365,1.43335,1.43335
2022-10-04 00:17:00,1.43335,1.43335,1.43335,1.43335
2022-10-04 00:18:00,1.43315,1.43315,1.43285,1.43295
2022-10-04 00:19:00,1.43300,1.43300,1.43285,1.43285
2022-10-04 00:20:00,1.43295,1.43310,1.43295,1.43305
2022-10-04 00:21:00,1.43285,1.43310,1.43285,1.43305
2022-10-04 00:22:00,1.43305,1.43305,1.43285,1.43290
2022-10-04 00:23:00,1.43315,1.43325,1.43315,1.43325
2022-10-04 00:24:00,1.43305,1.43305,1.43295,1.43295
2022-10-04 00:25:00,1.43295,1.43305,1.43295,1.43305
2022-10-04 00:26:00,1.43305,1.43305,1.43305,1.43305
2022-10-04 00:27:00,1.43305,1.43305,1.43305,1.43305
